分區代碼,類型代碼,類型名稱,類別代碼,類別名稱,圖形R值,圖形G值,圖形B值,次類別代碼,次類別名稱,圖示文字
A01000,A,土地使用分區,1,住宅區,255,255,0,0,住宅區,住
A01001,A,土地使用分區,1,住宅區,255,255,0,1,住宅區（再發展區）,住(再)
A01002,A,土地使用分區,1,住宅區,255,255,0,2,住宅區（都市更新地區）,住(更)
A01003,A,土地使用分區,1,住宅區,255,255,0,3,住宅區（住商混合）,住(商混)
A01004,A,土地使用分區,1,住宅區,255,255,0,4,住宅區（供社會住宅使用）,社會住宅
A01110,A,土地使用分區,1,住宅區,255,255,0,110,第一種住宅區,住一
A01111,A,土地使用分區,1,住宅區,255,255,0,111,第一之一種住宅區,住一之一
A01112,A,土地使用分區,1,住宅區,255,255,0,112,第一之二種住宅區,住一之二
A01113,A,土地使用分區,1,住宅區,255,255,0,113,第一之三種住宅區,住一之三
A01114,A,土地使用分區,1,住宅區,255,255,0,114,第一之A種住宅區,住一之A
A01115,A,土地使用分區,1,住宅區,255,255,0,115,第一之B種住宅區,住一之B
A01116,A,土地使用分區,1,住宅區,255,255,0,116,第一之C種住宅區,住一之C
A01120,A,土地使用分區,1,住宅區,255,255,0,120,第二種住宅區,住二
A01121,A,土地使用分區,1,住宅區,255,255,0,121,第二之一種住宅區,住二之一
A01122,A,土地使用分區,1,住宅區,255,255,0,122,第二之二種住宅區,住二之二
A01123,A,土地使用分區,1,住宅區,255,255,0,123,第二之三種住宅區,住二之三
A01124,A,土地使用分區,1,住宅區,255,255,0,124,第二之A種住宅區,住二之A
A01125,A,土地使用分區,1,住宅區,255,255,0,125,第二種住宅區（特）,住二(特)
A01130,A,土地使用分區,1,住宅區,255,255,0,130,第三種住宅區,住三
A01131,A,土地使用分區,1,住宅區,255,255,0,131,第三之一種住宅區,住三之一
A01132,A,土地使用分區,1,住宅區,255,255,0,132,第三之二種住宅區,住三之二
A01135,A,土地使用分區,1,住宅區,255,255,0,135,第三種住宅區（特）,住三(特)
A01136,A,土地使用分區,1,住宅區,255,255,0,136,第三之一種住宅區（特）,住三之一(特)
A01137,A,土地使用分區,1,住宅區,255,255,0,137,第三之二種住宅區（特）,住三之二(特)
A01140,A,土地使用分區,1,住宅區,255,255,0,140,第四種住宅區,住四
A01141,A,土地使用分區,1,住宅區,255,255,0,141,第四之一種住宅區,住四之一
A01145,A,土地使用分區,1,住宅區,255,255,0,145,第四種住宅區（特）,住四(特)
A01146,A,土地使用分區,1,住宅區,255,255,0,146,第四之一種住宅區（特）,住四之一(特)
A01150,A,土地使用分區,1,住宅區,255,255,0,150,第五種住宅區,住五
A01151,A,土地使用分區,1,住宅區,255,255,0,151,第五之一種住宅區,住五之一
A01155,A,土地使用分區,1,住宅區,255,255,0,155,第五種住宅區（特）,住五(特)
A01160,A,土地使用分區,1,住宅區,255,255,0,160,第六種住宅區,住六
A01170,A,土地使用分區,1,住宅區,255,255,0,170,第七種住宅區,住七
A01210,A,土地使用分區,1,住宅區,255,255,0,210,甲種住宅區,甲住
A01220,A,土地使用分區,1,住宅區,255,255,0,220,乙種住宅區,乙住
A01230,A,土地使用分區,1,住宅區,255,255,0,230,丙種住宅區,丙住
A01310,A,土地使用分區,1,住宅區,255,255,0,310,高密度住宅區,高住
A01311,A,土地使用分區,1,住宅區,255,255,0,311,第一種高密度住宅區,高住一
A01312,A,土地使用分區,1,住宅區,255,255,0,312,第二種高密度住宅區,高住二
A01316,A,土地使用分區,1,住宅區,255,255,0,316,已開發建築密集地區,
A01320,A,土地使用分區,1,住宅區,255,255,0,320,中密度住宅區,中住
A01321,A,土地使用分區,1,住宅區,255,255,0,321,第一種中密度住宅區,中住一
A01322,A,土地使用分區,1,住宅區,255,255,0,322,第二種中密度住宅區,中住二
A01330,A,土地使用分區,1,住宅區,255,255,0,330,低密度住宅區,低住
A01331,A,土地使用分區,1,住宅區,255,255,0,331,第一種低密度住宅區,低住一
A01332,A,土地使用分區,1,住宅區,255,255,0,332,第二種低密度住宅區,低住二
A01333,A,土地使用分區,1,住宅區,255,255,0,333,第三種低密度住宅區,低住三
A01335,A,土地使用分區,1,住宅區,255,255,0,335,低密度住宅區（特）,低住(特)
A01410,A,土地使用分區,1,住宅區,255,255,0,410,特一種住宅區,特一住
A01420,A,土地使用分區,1,住宅區,255,255,0,420,特二種住宅區,特二住
A01500,A,土地使用分區,1,住宅區,255,255,0,500,斷層帶住宅限建區,住(限)
A01510,A,土地使用分區,1,住宅區,255,255,0,510,傳統住宅區,傳統住
A01520,A,土地使用分區,1,住宅區,255,255,0,520,國民住宅區,國住
A01530,A,土地使用分區,1,住宅區,255,255,0,530,勞工住宅區,勞住
A01540,A,土地使用分區,1,住宅區,255,255,0,540,工業住宅區,工住
A01550,A,土地使用分區,1,住宅區,255,255,0,550,傳統建築區,傳建
A01560,A,土地使用分區,1,住宅區,255,255,0,560,特種住宅區,特住
A01570,A,土地使用分區,1,住宅區,255,255,0,570,市民住宅區,市住
A01580,A,土地使用分區,1,住宅區,255,255,0,580,專案住宅區,專住
A01590,A,土地使用分區,1,住宅區,255,255,0,590,自然村,自然村
A01600,A,土地使用分區,1,住宅區,255,255,0,600,特定住宅區,特住
A01610,A,土地使用分區,1,住宅區,255,255,0,610,特別住宅區,特住
A02000,A,土地使用分區,2,商業區,255,0,63,0,商業區,商
A02001,A,土地使用分區,2,商業區,255,0,63,1,商業區（再發展區）,商(再)
A02110,A,土地使用分區,2,商業區,255,0,63,110,第一種商業區,商一
A02111,A,土地使用分區,2,商業區,255,0,63,111,第一種商業區（特）,商一(特)
A02112,A,土地使用分區,2,商業區,255,0,63,112,第一之一種商業區,商一之一
A02113,A,土地使用分區,2,商業區,255,0,63,113,第一之二種商業區,商一之二
