,ISO,HRCIS,Flag,English name,Chinese name,Type,Population 2020[a],Area (km2),Population density (/km2),Population 2010[b],Population change[c],Subdivision count,Capital
0,NWT,65000,,New Taipei City,新北市,Special municipality,4023620,2052.57,1960.29,3897367,126253,29,Banqiao District
1,TPE,63000,,Taipei City,臺北市,Special municipality,2635286,271.8,9695.69,2618772,16514,12,Xinyi District
2,TAO,68000,,Taoyuan City,桃園市,Special municipality,2254363,1220.95,1846.39,2002060,252303,13,Taoyuan District
3,TXG,66000,,Taichung City,臺中市,Special municipality,2816667,2214.9,1271.69,2648419,168248,29,Beitun District
4,TNN,67000,,Tainan City,臺南市,Special municipality,1879115,2191.65,857.4,1873794,5321,37,Nanhua District
5,KHH,64000,,Kaohsiung City,高雄市,Special municipality,2773984,2951.85,939.74,2773483,501,38,Fongshan District
6,ILA,10002,,Yilan County,宜蘭縣,County,453951,2143.63,211.77,460486,-6535,12,Yilan City
7,HSQ,10004,,Hsinchu County,新竹縣,County,565272,1427.54,395.98,513015,52257,13,Zhubei City
8,MIA,10005,,Miaoli County,苗栗縣,County,544762,1820.31,299.27,560968,-16206,18,Toufen City
9,CHA,10007,,Changhua County,彰化縣,County,1271015,1074.4,1183.0,1307286,-36271,26,Changhua City
10,NAN,10008,,Nantou County,南投縣,County,493403,4106.44,120.15,526491,-33088,13,Nantou City
11,YUN,10009,,Yunlin County,雲林縣,County,680050,1290.83,526.83,717653,-37603,20,Douliu City
12,CYQ,10010,,Chiayi County,嘉義縣,County,502007,1903.64,263.71,543248,-41241,18,Minxiong Township
13,PIF,10013,,Pingtung County,屏東縣,County,817193,2775.6,294.42,873509,-56316,33,Pingtung City
14,TTT,10014,,Taitung County,臺東縣,County,216308,3515.25,61.53,230673,-14365,16,Taitung City
15,HUA,10015,,Hualien County,花蓮縣,County,325706,4628.57,70.37,338805,-13099,13,Hualien City
16,PEN,10016,,Penghu County,澎湖縣,County,105117,126.86,828.58,96918,8199,6,Magong City
17,KEE,10017,,Keelung City,基隆市,City,371878,60.03,4455.97,384134,-12256,7,Anle District
18,HSZ,10018,,Hsinchu City,新竹市,City,448207,151.66,922.82,415344,32863,3,East District
19,CYI,10020,,Chiayi City,嘉義市,City,270254,28.8,452.57,272390,-2136,2,West District
20,KIN,9020,,Kinmen County,金門縣,County,127723,132.76,2777.91,97364,30359,6,Jincheng Township
21,LIE,9007,,Lienchiang County,連江縣,County,12716,104.15,4315.06,9944,2772,4,Nangan Township
